Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89284
Longitude: -41.515423
Altitude: 467.17
Situacao: Operante
Data Inicial: 2006-08-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-04-24;0;964,7;17,3;25,8;21,5;18,8;78,5;55;4,8;,3;
2020-04-25;0;965,8;16,9;25,4;19,2;14,2;87,3;59;6,1;,6;
2020-04-26;1,4;966,2;17,6;26,9;22;18,4;77,2;52;5,9;1;
2020-04-27;0;966,7;15,9;28,3;21,9;16,4;70,8;39;8,5;,8;
2020-04-28;0;966,9;15,8;27,2;21,5;16;72,2;46;6,3;,9;
2020-04-29;0;966,6;16,4;26,2;21,3;16,5;75,3;48;7;1;
2020-04-30;3;964,7;17,2;27,4;21,8;18,1;77,1;48;4,1;,4;
2020-05-01;,2;964,4;16,5;28,9;22,1;15,8;73,5;45;5,3;,8;
2020-05-02;0;963;17,6;29,9;22,7;17,6;74,9;46;4,9;,5;
2020-05-03;0;961,4;18;31,7;23,1;17,7;75;34;7,6;1,5;
2020-05-04;0;963,5;15,7;24,8;21;18,8;72,2;58;8;1,7;
2020-05-05;0;963,1;16,7;26,1;21,1;18,1;77;53;5,2;,9;
2020-05-06;0;961,8;17;29,8;21,9;16,4;76,8;43;5;,5;
2020-05-07;0;961;18,4;30,7;22,6;18,2;79,1;44;9,1;,8;
2020-05-08;21,4;966,4;17;20,8;18,5;17,2;91,2;78;5,9;,8;
2020-05-09;1,6;968,3;15,7;23,4;19,5;16,2;80;55;6,3;,6;
2020-05-10;0;968,5;13,3;24,1;19;13,7;71,6;43;6,3;1;
2020-05-11;0;967,5;14,7;24,2;18,8;13;78,5;54;5,1;,7;
2020-05-12;0;965,5;15,8;25,4;19;14,1;82,8;55;4,9;,4;
2020-05-13;0;963,9;17,3;26,6;21,4;16,9;78,4;52;6,7;1;
2020-05-14;0;962,3;18,2;28,9;22,3;17,4;79,4;51;4,9;,5;
2020-05-15;0;962,5;17,8;29,8;23,1;17,5;75,2;38;5,8;,6;
2020-05-16;0;963,1;18,7;24,5;21,1;19,5;86,5;69;8,8;1,3;
2020-05-17;33;964,4;18,2;23,4;19,9;17,8;90,1;74;10,7;,7;
2020-05-18;,4;966,1;18,4;25,7;21,4;19;83,9;61;3,9;,6;
2020-05-19;0;968;17,6;26,2;21,6;18,9;79,1;56;7,6;1,2;
2020-05-20;0;968,6;16,4;24,1;20,5;18;78;59;7,8;1;
2020-05-21;1;967,6;17,2;25,8;21;18;80,5;54;6,1;1,1;
2020-05-22;0;966,4;18,5;24,6;21,1;18,9;85,7;71;5,5;,6;
2020-05-23;,2;964,8;19,6;27,9;22,9;20;82,9;58;5,1;1,1;
2020-05-24;,2;962,5;19,9;30,2;24,1;19,7;79,2;51;5;,8;
2020-05-25;,2;961,5;18,9;24,3;20,7;19;89,8;75;10,1;,9;
2020-05-26;2,2;959,8;18,3;29;22,2;17,6;80,8;50;6;,6;
2020-05-27;,2;961,4;13,2;25,8;19,9;14,1;68,7;39;9;1,2;
2020-05-28;0;964,9;13;24,7;18;12,3;75,1;48;5,9;,4;
2020-05-29;,2;966,5;12,4;24,9;17,8;11;74,3;39;7,8;,8;
2020-05-30;0;966;13,9;23,3;18,5;13,8;76,3;52;4,6;,5;
2020-05-31;0;964,7;15;24,9;20,4;17,6;73;47;6;,7;
2020-06-01;0;963,6;14;26,8;19,5;13,2;73,6;42;6;,5;
2020-06-02;0;963,2;15,2;28,6;20,5;13,6;74,4;45;5,6;,4;
2020-06-03;0;964,5;18;27,5;21;16,3;84;58;5,3;,4;
2020-06-04;0;966,7;17,2;27,4;22,5;18,8;74,2;46;5,3;1;
2020-06-05;0;968,1;16,7;25,2;20;16,7;81,9;59;5,4;,6;
2020-06-06;0;967,2;16,3;25,8;20,3;17;79,4;50;4,5;,4;
2020-06-07;0;966,8;17,4;24,3;20,3;16,5;84,3;66;3,6;,4;
2020-06-08;3,8;965,2;18,2;27,5;21,9;19,2;81,4;53;4,7;,5;
2020-06-09;0;963,7;17;28,6;21,2;15,7;79,5;45;3,5;,3;
2020-06-10;,2;963,8;16,6;28,9;21,2;15,2;78;44;5,4;,6;
2020-06-11;0;964,4;15,2;29,4;21,7;15,5;71,2;31;4,9;,4;
2020-06-12;0;963,3;14,4;28,8;20,9;14,5;70;35;5,7;,6;
2020-06-13;0;964,5;14,7;29,3;21,1;14,8;70,4;36;6,3;,5;
2020-06-14;0;966,7;15,6;27,2;20,7;15,7;74,6;47;6,4;,7;
2020-06-15;0;969,1;16,7;23,7;19,5;16;84,1;66;7,4;,8;
2020-06-16;0;969,7;18;23,2;19,9;18,5;88,9;75;7,3;,9;
2020-06-17;6;969,7;15,3;23,1;19,3;16,7;78,4;62;7,3;,8;
2020-06-18;,2;968,6;15,6;24,1;18,8;15,4;82,6;60;5,8;,5;
2020-06-19;4,8;967,4;18,3;22,5;19,6;17,6;92;79;5,5;,6;
2020-06-20;13,4;968,3;17,2;25,8;21,4;18,6;78,5;50;5,7;1,4;
2020-06-21;,2;967,9;15,1;25,5;19,1;14,1;80,5;49;8,2;,7;
2020-06-22;0;966,8;14,9;25,4;18,5;12,9;81,5;55;4,9;,5;
2020-06-23;,2;965;14,1;25,1;18,7;14,2;78,1;42;5,8;,6;
2020-06-24;,2;965,1;12,5;25,2;17,8;11,4;74,2;42;5,8;,6;
2020-06-25;0;965,5;14,5;26,5;19,8;14,9;74,2;44;4,6;,4;
2020-06-26;0;964,4;13,3;26,8;19,4;12,9;71,8;33;5,7;,4;
2020-06-27;0;962,8;15,4;26,3;19,5;14,4;78,5;54;5,8;,8;
2020-06-28;0;963,8;16,6;27,7;20,9;15,1;78,8;50;8,8;1,1;
2020-06-29;,2;966,7;16,2;24,1;19,9;17,5;79,7;60;8,5;1,4;
2020-06-30;3;964,5;17,5;20,8;18,7;17,3;92,8;82;3,4;,2;
2020-07-01;4,4;960,9;17,2;28,3;21,8;18,1;78,1;42;7;,6;
2020-07-02;,2;960,2;16,1;29;21,4;15,1;74,4;45;6;,9;
2020-07-03;0;962,4;18,1;27,4;22,4;19,7;78;53;7,1;1,5;
2020-07-04;0;964,8;17,6;25,8;21,2;18;81,1;55;5,5;1,2;
2020-07-05;2,8;966,4;18;21,4;19,8;18,3;89,3;80;8,6;1;
2020-07-06;3;965,2;16,6;25,2;20,2;17,2;80,9;53;4,8;,4;
2020-07-07;0;964,4;15,2;25,8;19,5;13,3;78,5;47;6,8;,7;
2020-07-08;0;964,1;14,2;25,2;19,8;14,6;72,8;40;6,5;,7;
2020-07-09;0;964,9;13,4;29,3;20,3;13,6;68,9;32;4,4;,3;
2020-07-10;0;966,2;15,4;25,2;19,5;14,2;77,8;58;7,4;1,2;
2020-07-11;,2;967,2;16;22,4;19,2;17,3;82,3;66;6,1;,6;
2020-07-12;,2;965,5;15,2;25,4;19,1;14,8;80,4;52;6,3;,7;
2020-07-13;,2;964,8;15,1;28,1;20,4;14,4;75;41;4,7;,4;
2020-07-14;0;964,4;13,9;29,5;21,3;14,9;68;29;5,5;,5;
2020-07-15;0;966,2;15,7;26,9;20,7;15,7;74,5;49;6,9;,8;
2020-07-16;1,8;968,5;17,4;22,1;19,3;18,3;88,5;73;6,9;1,3;
2020-07-17;4,2;968,4;15,9;23,7;19,2;17,1;82;59;5,5;,5;
2020-07-18;0;968,6;14,2;24,2;18,5;14,3;78,5;50;7,2;,9;
2020-07-19;0;968,5;14,9;22,8;17,9;13,4;83,3;65;6,9;,6;
2020-07-20;2,6;967,4;17,4;22,1;19;17,4;90,7;75;4,7;,4;
2020-07-21;13,4;966;17,7;24,6;20;18;87,4;62;8;,6;
2020-07-22;2;965,7;15,3;26,3;19,9;15,4;77,5;45;5,6;,6;
2020-07-23;0;966,1;12,9;25,9;19,1;12,7;71,5;29;6,4;,6;
2020-07-24;1,6;967;16,8;22,4;18,8;16,9;88,3;56;8,7;1;
2020-07-25;4;968,4;16,1;23;18,4;14,5;87,3;65;4,6;,4;
2020-07-26;,2;967,7;17,7;24,2;19,9;16,8;88;66;7,4;,7;
2020-07-27;1,8;968;15,7;25,5;21;17,8;73,8;46;7,3;1,6;
2020-07-28;0;967,1;14,2;26,6;20,6;16,5;69,9;39;6,3;,9;
2020-07-29;0;966,3;15,3;26,9;20,9;16;72,8;42;5,8;,9;
2020-07-30;0;967;13,6;25,9;19,1;13,9;73,3;42;4,7;,4;
2020-07-31;0;969,2;15,4;21,5;17,7;15,5;86,7;66;7,1;,5;
2020-08-01;6,8;970,2;15,6;22,3;18,4;16;84,8;59;5,7;,4;
2020-08-02;0;970,2;15,7;23,7;18,6;15,3;84;59;8,6;,5;
2020-08-03;1,4;972,1;13;23,6;18;13;73,7;49;6,3;,9;
2020-08-04;0;972,3;13,4;22,9;17,7;12,7;77,6;53;6,6;1;
2020-08-05;1,8;971,8;13,8;24,1;18,4;15,5;77,1;43;7;1,2;
2020-08-06;2,2;971,3;13,3;24;17,6;12,8;77,8;48;7,1;,8;
2020-08-07;0;971;12,9;25,1;20,1;14,9;65,2;41;7,3;1,3;
2020-08-08;1;970,9;15,5;23,6;19;16,1;81,2;55;8;,9;
2020-08-09;0;969,4;14,9;25,6;20;15,7;74,5;45;8,2;,6;
2020-08-10;,2;966,9;15,8;22,6;18,9;15,5;82,7;65;5,1;,7;
2020-08-11;6;965,5;17,2;23,3;18,8;16,9;90,7;71;7,2;,9;
2020-08-12;9,6;964,9;16,9;24,8;20,3;18;82,1;57;5,2;,8;
2020-08-13;6,4;965,1;16,6;26;21;18,2;77,5;48;6,7;1,4;
2020-08-14;0;963,9;15,4;25,6;20,2;16,7;75,3;51;6,5;,9;
2020-08-15;0;962;15,9;28,3;21,9;17,6;71,1;40;6,4;1;
2020-08-16;0;962,4;17,5;28,5;23;19,8;73,3;45;6;,9;
2020-08-17;0;962,8;18,4;28,7;22,9;19,6;76,7;50;8,2;1,8;
2020-08-18;0;962,9;17,1;28,1;22,7;19,3;72,5;45;7,5;2;
2020-08-19;0;963,3;17,2;27;22;19;75,2;53;6;1,1;
2020-08-20;0;962,9;17,4;28,4;22,7;20,2;74,1;41;4,3;,7;
2020-08-21;0;963,1;17,2;25,5;22;19,2;75,2;56;5,1;,8;
2020-08-22;0;964,8;15,7;22,5;18,4;18,2;84,4;73;7,5;1,8;
2020-08-23;4,4;967,1;14,5;18,4;16,5;15,6;88;72;6,6;1,1;
2020-08-24;,4;966;13,6;22;17,7;15;78,3;54;5,2;,4;
2020-08-25;0;963,9;10,5;24,5;17,5;11,1;68,8;31;7;1;
2020-08-26;0;963,5;10;26,8;18,4;10,1;62,4;34;7,9;1;
2020-08-27;0;964,8;13,7;26,2;19,5;13,1;71;48;5,7;,6;
2020-08-28;0;965,5;15,5;27,1;20,8;16,4;73,6;42;6,5;1;
2020-08-29;,4;964,9;15,8;28,1;21,8;17,8;70,8;39;8,1;1,6;
2020-08-30;0;965;16,6;28,9;23,1;19,5;69;42;7,6;1,4;
2020-08-31;0;966,4;17;30,3;24,1;20,2;67,4;37;8;2,2;
2020-09-01;0;968,5;16,1;27,4;22,7;19,3;68,3;42;8,5;2,3;
2020-09-02;0;967,4;15,1;27,4;21,8;18;67,5;42;9,4;2,4;
2020-09-03;0;966,1;13,9;28,4;21,2;16,3;66,9;32;10,6;1,8;
2020-09-04;,2;966,8;14,2;28,1;21,6;15,9;66,3;35;7,7;1,3;
2020-09-05;0;966,8;14,1;28,9;22,4;16,5;63,5;32;8,7;1,6;
2020-09-06;0;964,9;15,4;28,5;22,5;17,7;66,5;39;8,8;1,6;
2020-09-07;0;962,2;15,7;29,9;23,5;19,6;65,6;31;6,3;1;
2020-09-08;0;962,9;16;29,5;23,6;19,5;65,8;33;9,6;1,8;
2020-09-09;0;965;14,4;29,6;22,6;16,1;63,6;33;8,5;1,5;
2020-09-10;0;966,6;14,2;28,9;22,6;17,9;61,8;32;10,6;1,8;
2020-09-11;0;964,4;14,2;29,6;21,9;14,9;65;31;6,8;1,1;
2020-09-12;0;965,6;14,4;29;22,8;18,3;62,4;34;10,8;2,4;
2020-09-13;0;967,1;14,7;28,9;22,8;18,1;63,6;32;9,6;3,1;
2020-09-14;4;967,7;15,6;27,9;22,1;18,5;70,3;33;13;1,3;
2020-09-15;0;965,6;14,8;30,4;23;18,5;63,6;30;6,8;1,4;
2020-09-16;0;965,1;14,9;29,8;23,5;19,1;61,9;32;8,6;2,1;
2020-09-17;0;963,4;14,3;30,3;23,1;17,3;61,4;30;8,6;1,4;
2020-09-18;0;961,4;13,4;32;23,8;15,7;55,8;27;6,6;1,1;
2020-09-19;0;961,2;14,9;31,7;24,3;18,5;59;32;6,9;1,3;
2020-09-20;0;960,7;14;31,7;24,3;18,1;56,5;27;7;1,3;
2020-09-21;0;962,4;15,4;30,8;24,7;19,9;60,6;30;9,7;2,8;
2020-09-22;0;963,8;17,2;30,2;24,4;21;65,9;38;7,9;1,9;
2020-09-23;0;966,3;19,2;25,1;21,9;21,2;85,1;57;7;1,2;
2020-09-24;16,8;966,8;18,1;25,3;21,1;18,3;84,2;62;7,4;1,3;
2020-09-25;2,6;965,8;16,5;27,6;22;18,4;73,4;42;7,8;1,3;
2020-09-26;0;963,5;15,2;28,9;22,8;18,6;65,1;34;7,9;1,9;
2020-09-27;0;961,2;14,8;32,4;24,4;17,4;61;26;7,2;1,1;
2020-09-28;0;959,5;12,6;36,7;25,9;16;50,6;18;8,2;,9;
2020-09-29;0;961,6;15,8;34,2;26,5;19,3;56,3;26;8,1;1,9;
2020-09-30;0;963,4;16,6;31,9;25,3;19,8;61,6;35;9,2;2,2;
2020-10-01;0;962,1;15,7;32,7;25,8;20,9;57,9;29;8,1;2,6;
2020-10-02;0;961,4;15,1;32,5;25,4;20,2;57,8;23;6;1,5;
2020-10-03;0;960,2;13;35,5;26,3;17,9;50,2;16;8;,8;
2020-10-04;0;961,9;15,8;31;24,4;18;60,2;34;8,2;1,5;
2020-10-05;0;963,6;17,6;29,9;25,2;21,9;64,1;43;10,4;2,3;
2020-10-06;0;961,9;17,3;33,3;25,4;19,9;64;34;5,2;1,3;
2020-10-07;0;960,6;16;38;28,7;19,3;51,9;23;6,7;1;
2020-10-08;0;959,8;18,7;37,5;27,7;22,1;61;27;13,8;1,3;
2020-10-09;0;958;19,2;32,4;27;21,7;63,6;46;7,4;1,2;
2020-10-10;0;956,9;19,1;32,7;26,6;21,5;64,8;44;6,8;,9;
2020-10-11;0;962,3;16,9;27,3;23;21,4;68,7;61;9,6;3,1;
2020-10-12;0;965;15,5;24,1;20,8;17,8;72;58;10,3;1,4;
2020-10-13;0;963,2;18,4;26,9;22,4;19;79,2;60;6;1,4;
2020-10-14;0;961,4;18,6;32,5;25,6;21,3;68,3;38;7,5;1,8;
2020-10-15;0;959,9;16;36,7;27,9;19,9;53,2;22;10;1,2;
2020-10-16;0;963,2;16,4;29,7;24,6;21,4;61,8;43;9,7;3,2;
2020-10-17;0;964,7;14,8;23,2;20,7;19,1;69,3;59;10,2;1,8;
2020-10-18;0;963,6;16,1;24,2;20,6;18,1;76;57;7,4;1,3;
2020-10-19;,4;963,4;16,5;24,5;21,1;17,8;76,4;58;5,1;,5;
2020-10-20;0;963,9;16,5;27,5;22,7;19,3;69,7;48;8,5;1,6;
2020-10-21;8,6;963,8;19,7;25,4;21,5;19,7;89,7;73;8,1;,4;
2020-10-22;10;963,4;19,6;23,2;21,2;19,3;90,7;77;8,4;,9;
2020-10-23;33,2;964,2;18,3;22,3;19,8;18,3;91,3;76;5,2;,9;
2020-10-24;3,4;961,5;19;25,2;21,4;18,9;86,5;67;5,6;,5;
2020-10-25;24,8;957,8;20,4;22,7;21,4;20,6;94,2;88;4,1;,3;
2020-10-26;28,2;955,3;19,1;30,6;24,5;20,8;74,6;46;7,8;1,2;
2020-10-27;0;954,7;19,1;31,7;24,9;20,8;72,4;44;7,7;1,7;
2020-10-28;0;954,9;19,9;34,4;26,7;22,3;70,4;33;9,7;1,4;
2020-10-29;0;957,9;19,2;31,2;26,2;22,1;66,3;46;10,6;1,6;
2020-10-30;0;959,5;20;27,5;24,7;22,4;75,6;60;8,5;2,5;
2020-10-31;0;958,7;20,2;25;22,2;21,8;88,9;72;5,8;1,3;
2020-11-01;86,6;958,2;18,7;21,5;19,6;18,8;94,5;88;5,1;,5;
2020-11-02;17,2;959,6;16,6;23,8;19,9;17,4;82;60;6,4;,2;
2020-11-03;3,8;961,8;15,3;20,4;18;16;84,3;74;7;1,4;
2020-11-04;1;961,8;16,6;22,4;18,9;16,6;86,9;73;4;,5;
2020-11-05;,2;960,3;17,5;27,7;21,8;18,4;78,3;46;7;1,3;
2020-11-06;,2;960,6;18,6;29,9;23,9;20;73,8;49;6,9;,8;
2020-11-07;0;963,6;19,4;30,9;25;21,2;72,5;43;8,6;2;
2020-11-08;0;963,7;19,3;30,9;25,4;21,7;71;44;7,2;2,1;
2020-11-09;0;962,3;19,1;31,8;25,6;21,9;69,5;38;7,5;1,7;
2020-11-10;0;961,7;17,9;30,9;24,8;20,8;67,6;42;6,4;1,8;
2020-11-11;0;960,8;17,7;31,2;25,5;21,4;64,8;39;7,7;2;
2020-11-12;0;959,4;17,2;32,2;25,7;20,2;61,9;38;7,2;1,5;
2020-11-13;0;959,4;17,6;32,5;25,5;20,2;64,3;37;6,4;1,7;
2020-11-14;0;959,2;19,7;31,8;24,6;20,9;76;44;8,3;1;
2020-11-15;15,4;959,5;21,3;27,2;23,3;21,1;88,7;71;6,7;,6;
2020-11-16;1,6;957,4;20,6;31;23,4;21,4;85,5;52;12,7;,5;
2020-11-17;,4;955,7;20,3;32,6;25,6;20,7;75,3;45;7,1;1;
2020-11-18;0;956,2;20,7;33,1;24,9;22,3;79;46;13,4;1,1;
2020-11-19;22,8;956,1;20,8;28,8;24,2;21,6;82,4;59;8,1;1,1;
2020-11-20;,2;955,8;20,9;28;23,7;21,1;85,1;66;8,5;1;
2020-11-21;12,4;960,3;18,4;22,9;20,2;18,4;89,3;78;6,8;1;
2020-11-22;1;962,5;18,9;24,7;20,9;19,6;88,7;72;7,4;,9;
2020-11-23;20,4;964,3;19,2;23,3;20,7;19,7;91;80;5,9;1,2;
2020-11-24;4;965,5;18,8;25,4;20,6;18,8;89,6;69;5,2;,7;
2020-11-25;3,6;964,7;18,4;27,7;22,1;19,2;80,9;53;11,8;1,4;
2020-11-26;1,2;963,6;18,2;26,9;22,6;19,3;77,7;54;13,1;1,8;
2020-11-27;0;963,8;18,1;27,2;22,4;18,6;77,5;57;10,1;1,3;
2020-11-28;,8;965;18,6;26,8;21,9;19,1;82;61;10,6;1,8;
2020-11-29;1,2;964,7;18,3;25,7;22;19,2;79,9;63;8,7;2,4;
2020-11-30;,8;962,8;16,9;29,5;23,3;19;70,7;38;6,1;1,1;
2020-12-01;,2;960,7;17,2;31,3;24,7;20;66,8;34;6,7;,9;
2020-12-02;0;959,6;18,6;31,8;25,3;20,9;68,2;42;5,8;,7;
2020-12-03;0;959,2;19,9;32,3;25,8;21,9;72,1;41;7,2;1,2;
2020-12-04;1;960,4;20;33;24,7;19,8;77,9;44;10,5;,8;
2020-12-05;6;960,4;21,4;30,9;26,1;23,2;76,7;49;7,4;1,8;
2020-12-06;,4;960,6;19,8;30,4;25;21,5;74,7;50;8,9;2,7;
2020-12-07;0;960,7;19,6;30,7;24,9;21,7;74;49;7,5;2;
2020-12-08;3,4;960,2;19,3;29,7;24,6;19,9;73,3;53;7,9;1,7;
2020-12-09;0;959,6;20,2;31,1;24,7;22;77,6;47;9,2;,9;
2020-12-10;39,4;959,6;20,5;30,8;23,5;21,1;84,7;49;13,4;1,1;
2020-12-11;,4;961,1;20,5;29,7;24,3;20,7;80,5;58;5,7;1,2;
2020-12-12;,8;961,9;19,8;30,5;25,2;21,8;74;46;7,8;1,6;
2020-12-13;0;962,7;15,6;30,2;24,3;19;62;30;7,3;1,5;
2020-12-14;0;961,5;15,9;30,5;24,3;19,9;63,2;32;5,3;1,1;
2020-12-15;0;960,1;17,7;30,3;24,8;21,1;66,7;39;7,6;1,8;
2020-12-16;0;961,1;17,5;30,7;24;18,5;69,2;43;8,5;1,4;
2020-12-17;0;961,8;17,2;30,3;24,4;19,5;66,6;38;7,2;1,9;
2020-12-18;0;959,4;17,5;31,7;25,5;20,7;64,3;37;6,7;1,2;
2020-12-19;0;957,3;19,9;33,5;26,3;22,6;69,8;40;7,2;1,5;
2020-12-20;16,2;957,9;20,2;31,1;24,3;20,4;79,5;53;13;1,4;
2020-12-21;0;959,4;20,7;31,2;24,7;21,6;79,9;51;8,3;1,2;
2020-12-22;3,2;958,9;20,1;32,9;26,3;21,8;70,9;42;9,1;1;
2020-12-23;,2;958,7;20,5;30,9;25,8;22,6;73,7;51;5,2;1,3;
2020-12-24;8,4;958,9;19,1;29,8;24,8;21,7;72;43;6,6;1,8;
2020-12-25;0;958,8;16;30,8;24,6;19,1;61,5;30;9,2;1,9;
2020-12-26;0;959;17,2;30,6;24,5;19,4;66,4;36;10,3;2;
2020-12-27;0;961,1;18;31,7;25,8;21,6;64,7;39;8,6;2,8;
2020-12-28;0;962,4;17,4;30,8;25,2;20,2;64,7;35;10,7;2,5;
2020-12-29;0;960,9;17,3;31,7;25,3;20,9;63,6;34;9,5;2,5;
2020-12-30;0;960,3;16,6;32;25,4;19,8;61,8;31;9;2,1;
2020-12-31;0;961,1;16;32,1;25,1;19,9;60,8;31;8,6;1,2;
2021-01-01;0;960,5;16,5;33,1;25,6;19,4;61,5;32;5,9;1,2;
2021-01-02;0;959,4;17,8;31,7;26;21,7;63;31;9,1;1,7;
2021-01-03;0;958,5;19,4;31,6;24,4;21,6;75,1;42;8,3;1,6;
2021-01-04;4;960,5;19,5;29,8;23,9;20,5;78;51;6,5;,7;
2021-01-05;,2;961,3;19,8;30,5;25,3;21,6;73;47;7,2;1,3;
2021-01-06;0;960,3;18,5;31,8;25,8;21,2;66,4;41;7,2;1,3;
2021-01-07;0;959,3;17,4;33,7;26,2;19,2;60,6;35;7;1;
2021-01-08;0;958,4;18,4;34,7;27,7;21,1;59,7;34;7;,9;
2021-01-09;0;957,8;19,9;32,5;26,8;22,2;67,5;46;8,1;1,5;
2021-01-10;0;958,9;20,1;33,8;27,2;23,1;67,1;42;7,2;2,3;
2021-01-11;0;959,7;19,5;31,6;26,2;22,5;67,8;47;8,4;2,4;
2021-01-12;0;960;17,9;32,2;26,2;21,4;62,6;36;9,7;1,8;
2021-01-13;0;960,2;17,2;31,6;25,6;21,2;61,8;34;9,8;2,1;
2021-01-14;0;960,5;18;32,7;25,3;21,2;66,3;30;10,8;2,8;
2021-01-15;0;960,8;19,2;31,5;24,3;21,8;75,1;41;11,1;2,3;
2021-01-16;16,8;960,5;19,8;28,7;23,1;20,7;82,4;53;9,5;1,5;
2021-01-17;1,2;960,8;16,8;30,9;24,4;19,7;66,1;33;8,6;2,3;
2021-01-18;0;960,7;16,3;31,7;25,3;19,5;61,5;30;9,7;2,3;
2021-01-19;0;961,1;16,1;32,2;26;21,6;58,4;27;10,7;2,6;
2021-01-20;0;961,4;15,7;31,9;25,3;19,9;59;29;10,7;2,4;
2021-01-21;0;962,3;16,3;31,2;25,1;20,1;61,3;33;10,4;3;
2021-01-22;0;964,2;17,4;30,6;23,7;19,2;69,1;41;10,9;2,2;
2021-01-23;2;964;16,7;31,5;24,5;19,7;64,5;35;9,6;2,4;
2021-01-24;0;962,4;17,1;30,4;24,4;19,2;66,3;40;9;1,7;
2021-01-25;0;961,2;18,9;29;24,4;20,7;72,5;51;9,1;2,2;
2021-01-26;4,4;961,7;17,6;31,8;25,3;20,8;64,7;35;8,3;2,9;
2021-01-27;0;962,1;16,3;30,3;24,5;19,3;62,3;38;10,1;2;
2021-01-28;0;960,7;16;32,3;25,3;19,7;60,4;29;12,9;2,3;
2021-01-29;0;961;17,8;32,6;25,2;21,3;65,5;34;10,3;2,3;
2021-01-30;0;961,9;15,8;32,8;25,9;20,3;57,8;25;11,6;2,5;
2021-01-31;0;961,5;16,7;32,7;25,6;20,8;61,2;28;11,7;2,4;
2021-02-01;0;960,4;17,6;30,5;25,4;21,1;64,1;39;7,8;1,9;
2021-02-02;0;960,5;17;32,7;26,1;21,4;60,5;32;9,6;2,1;
2021-02-03;0;961,2;17,9;33,2;26,7;22,2;61,8;29;10,4;2,4;
2021-02-04;0;959,7;17,5;33,9;26,9;21,6;59,7;30;7,9;2,1;
2021-02-05;0;956,5;19,2;35;26,4;21,4;67,5;32;11,5;1,8;
2021-02-06;49,2;958,1;19,9;25,1;22,2;20,1;87,3;66;12,3;,7;
2021-02-07;4,6;958,7;20,6;24,8;22,6;21;88,5;75;10,6;,9;
2021-02-08;45,4;959,7;18,8;22,4;20,3;18,7;91,2;76;10,7;,9;
2021-02-09;27,2;960,3;19,5;24,9;20,9;19,4;91,9;76;6,5;,9;
2021-02-10;22;961,1;17,5;29,3;22,6;17,6;75;46;8,4;1,4;
2021-02-11;0;961,1;18,8;29,1;24,4;20,9;72,4;49;8,3;2;
2021-02-12;0;961,5;18,7;28,6;24,3;20,6;72,1;50;6,7;1,9;
2021-02-13;0;960,9;17,6;29,7;24,3;20,4;68,1;43;7,2;1,4;
2021-02-14;0;958,7;17,7;31,8;25;19,4;66,6;38;6,6;1,2;
2021-02-15;0;957,1;19,4;29,9;25;21,4;71,8;51;6,6;,8;
2021-02-16;7,4;955,8;20,8;31,6;25,2;21,5;78,4;52;7,3;,9;
2021-02-17;,2;955,7;20,6;31,1;24,7;21,4;79,6;53;14,4;,9;
2021-02-18;23,4;957,2;20,6;30,1;24,6;21,1;79,9;52;9,2;1,4;
2021-02-19;,4;958,2;20,7;29,7;24,2;22,1;82,1;54;11,5;1,7;
2021-02-20;12,4;960,1;21,1;30,2;24,5;21,9;82,6;55;11,8;,9;
2021-02-21;75,6;961,3;19,8;27,1;23;19,7;83,3;63;14;,4;
2021-02-22;0;960,5;19,4;31,6;25,5;21,7;71,7;40;4,7;,7;
2021-02-23;0;960,5;19,3;31,3;25,6;21,4;70,1;41;6,9;1,1;
2021-02-24;0;960,7;20,2;29,6;24,4;22;78,5;55;9,4;1;
2021-02-25;0;959,2;20,8;30;23,9;20,9;83,8;56;6,7;,9;
2021-02-26;,4;958,8;19,5;30,3;24,9;21,9;73,3;49;8,8;2,2;
2021-02-27;0;960,9;18,7;27,3;23,3;20,8;75,9;54;8,1;1,6;
2021-02-28;2;960,7;19,5;27,5;22,5;20;83,9;60;10,7;1,3;
2021-03-01;7,8;960;18,8;28,6;22,8;19,5;79,3;52;11,6;1,4;
2021-03-02;3,6;961,5;18,3;29,2;23,5;19,2;74,8;41;8,6;2;
2021-03-03;,2;963,6;18,4;30,7;24,2;19,6;72;43;11,1;1,7;
2021-03-04;0;962,5;17,3;30,7;24,5;20,3;67,5;32;6,6;1,2;
2021-03-05;0;958,8;16,5;33,3;25,2;17,8;62,7;30;6,5;,7;
2021-03-06;0;957,4;17,5;35,4;26,7;19,4;62,1;28;7,2;,6;
2021-03-07;0;958,5;19,5;33,5;25,1;22,2;72,5;41;16,2;,9;
